retyr,popID,p50,model,age,obs
2011,6,NA,RJC,99,120778.754055534
2011,7,3.00546894902505,RJC,99,1395462.58863566
2011,11,0.021172614154248,RJC,99,12527.2842310512
2011,13,0.420390617450972,RJC,99,335583.00280421
2011,17,0.0180968262409989,RJC,99,31896.8746847689
2011,18,0.0242489045147814,RJC,99,65756.2556882096
2011,6,NA,MRJ,99,120778.754055534
2011,7,2.67037533776847,MRJ,99,1395462.58863566
2011,11,0.0236866763361215,MRJ,99,12527.2842310512
2011,13,0.465903385845474,MRJ,99,335583.00280421
2011,17,0.0211982550879865,MRJ,99,31896.8746847689
2011,18,0.0287802148198304,MRJ,99,65756.2556882096
2011,6,NA,RJ1,99,120778.754055534
2011,7,1.60067694317295,RJ1,99,1395462.58863566
2011,11,NA,RJ1,99,12527.2842310512
2011,13,0.359625689680394,RJ1,99,335583.00280421
2011,17,0.0241874105946485,RJ1,99,31896.8746847689
2011,18,0.0402718154129105,RJ1,99,65756.2556882096
2011,6,NA,RJ2,99,120778.754055534
2011,7,2.22162909033977,RJ2,99,1395462.58863566
2011,11,NA,RJ2,99,12527.2842310512
2011,13,0.390790574200099,RJ2,99,335583.00280421
2011,17,0.0329915074126347,RJ2,99,31896.8746847689
2011,18,0.0434772077411885,RJ2,99,65756.2556882096
2010,6,4.48481988243187,RJC,99,606209.482668476
2010,7,7.73601548947364,RJC,99,4466792.71301427
2010,11,0.0200159731922019,RJC,99,19919.4979364637
2010,13,0.898698535316626,RJC,99,232655.13311475
2010,17,0.0644402124492821,RJC,99,47999.5178727575
2010,18,0.023918383590481,RJC,99,19321.1199607384
2010,6,2.98151578396676,MRJ,99,606209.482668476
2010,7,6.91538895708335,MRJ,99,4466792.71301427
2010,11,0.0272279728955114,MRJ,99,19919.4979364637
2010,13,0.643976490083777,MRJ,99,232655.13311475
2010,17,0.0898426607047262,MRJ,99,47999.5178727575
2010,18,0.0293387348616823,MRJ,99,19321.1199607384
2010,6,2.16922721721139,RJ1,99,606209.482668476
2010,7,3.45414797517279,RJ1,99,4466792.71301427
2010,11,NA,RJ1,99,19919.4979364637
2010,13,0.526484524993699,RJ1,99,232655.13311475
2010,17,0.145646876370179,RJ1,99,47999.5178727575
2010,18,0.037769532458195,RJ1,99,19321.1199607384
2010,6,2.49391848938808,RJ2,99,606209.482668476
2010,7,5.39600471096728,RJ2,99,4466792.71301427
2010,11,NA,RJ2,99,19919.4979364637
2010,13,0.51931266539662,RJ2,99,232655.13311475
