"Stock","MAE","MRE","MPE","RMSE","MAE_rank","absMAE_rank","absMPE_rank","RMSE_rank","Average_rank","Overall_rank","rel_rank_MAE","rel_rank_absMAE","rel_rank_absMPE","rel_rank_RMSE"
"Late Shuswap",1.4610329435239,-0.142525064004682,6.64729740483111,2.93936976242992,9,10,9,3,7.75,1,0.214285714285714,0.238095238095238,0.214285714285714,0.0714285714285714
"Late Shuswap",1.44020462417184,0.00959433503040051,8.49444865711725,2.77625320476495,6,3,20,2,7.75,2,0.142857142857143,0.0714285714285714,0.476190476190476,0.0476190476190476
"Late Shuswap",1.33491512463926,-0.331087138167605,8.80374873053051,3.02657098197724,3,21,22,5,12.75,6,0.0714285714285714,0.5,0.523809523809524,0.119047619047619
"Late Shuswap",1.46059349152184,-0.685823297740937,4.75802881429119,3.22259522487315,8,31,3,11,13.25,7,0.19047619047619,0.738095238095238,0.0714285714285714,0.261904761904762
"Late Shuswap",1.22189814814863,-1.03026768889327,6.27512539941165,3.62080373199966,1,34,7,20,15.5,9,0.0238095238095238,0.80952380952381,0.166666666666667,0.476190476190476
"Late Shuswap",1.75011558574709,0.00219859421440625,8.17640535782561,3.51379505082713,28,2,17,16,15.75,10,0.666666666666667,0.0476190476190476,0.404761904761905,0.380952380952381
"Late Shuswap",1.46598864990461,-0.334317560112828,8.33537833677469,3.3069935149517,11,23,18,13,16.25,12,0.261904761904762,0.547619047619048,0.428571428571429,0.30952380952381
"Late Shuswap",1.35958444615854,-0.343954001612857,16.5585391922468,3.07063593011522,4,25,31,6,16.5,13,0.0952380952380952,0.595238095238095,0.738095238095238,0.142857142857143
"Late Shuswap",1.66229693171584,-0.147665904923218,7.75212007915528,3.52814933453727,23,11,15,17,16.5,14,0.547619047619048,0.261904761904762,0.357142857142857,0.404761904761905
"Late Shuswap",1.46901470651421,-0.577063757121863,6.37415606378429,3.61976729005588,12,30,8,19,17.25,15,0.285714285714286,0.714285714285714,0.19047619047619,0.452380952380952
"Late Shuswap",1.67205479623474,-0.332048504153991,6.72876682035741,3.5287789674112,24,22,10,18,18.5,16,0.571428571428571,0.523809523809524,0.238095238095238,0.428571428571429
"Late Shuswap",1.46308335905122,-0.552261822867037,12.8249881475156,3.15823901427883,10,29,29,9,19.25,17,0.238095238095238,0.69047619047619,0.69047619047619,0.214285714285714
"Late Shuswap",1.4995601119408,-0.34271386404725,8.86639339904889,3.35754805054012,15,24,24,14,19.25,18,0.357142857142857,0.571428571428571,0.571428571428571,0.333333333333333
"Late Shuswap",1.49374301524007,-0.843427005975058,6.11791581516438,3.72821745222614,14,32,6,27,19.75,19,0.333333333333333,0.761904761904762,0.142857142857143,0.642857142857143
"Late Shuswap",1.52754382730983,-0.447332862224469,7.07287884431934,3.67396710647173,18,27,12,23,20,20,0.428571428571429,0.642857142857143,0.285714285714286,0.547619047619048
"Late Shuswap",1.47978520242176,-1.33675643161838,4.68076451680198,3.84718439107546,13,37,2,28,20,21,0.30952380952381,0.880952380952381,0.0476190476190476,0.666666666666667
